index,weight,wrongPoints,totalPoints,accAccuracy,accuracy
1,0.5,16,56,0.7142857142857143,0.7142857142857143
2,0.5,2,224,0.9196428571428571,0.9910714285714286
3,0.5,0,295,0.9389830508474576,1.0
4,0.5,26,477,0.9077568134171907,0.9454926624737946
5,0.5,12,794,0.929471032745592,0.9848866498740554
6,0.5,234,1420,0.795774647887324,0.8352112676056338
7,0.5,5,1498,0.8030707610146862,0.9966622162883845
8,0.5,9,1830,0.833879781420765,0.9950819672131147
9,0.5,40,2154,0.840297121634169,0.9814298978644382
10,0.5,6,2185,0.8398169336384439,0.997254004576659
